,Scenario,Date_Time,Elevation,GlazingSystem,HeatingElecEnergy[J](Hourly),HeatingGasEnergy[J](Hourly),FanEnergy[J](Hourly),CoolingEnergy[J](Hourly),LightingEnergy[J](Hourly),PeakEnergy[J](Hourly),PeakEnergy(w),PeakEnergy(w/sf)
10133,A1Eexist, 02/27  06:00:00,E,Exist,2129232.9080000003,0,162543.4886,0.0,30032.63855,2321809.03515,644.9469542083333,3.401618956795007
101,A1Eclear, 01/05  06:00:00,E,Clear,1152685.5929999999,0,166371.5353,0.0,30032.63855,1349089.76685,374.74715745833333,1.9765145435566105
18893,A1Elowe, 02/27  06:00:00,E,Lowe,1323265.005,0,144359.6691,0.0,30032.63855,1497657.31265,416.01592018055555,2.1941767942012422
36534,A1Nexist, 03/04  07:00:00,N,Exist,2185838.1,0,155214.3191,0.0,55969.9173,2397022.3364,665.8395378888889,3.5118119086966715
27774,A1Nclear, 03/04  07:00:00,N,Clear,1297446.624,0,160545.7763,0.0,55969.9173,1513962.3176000002,420.54508822222226,2.2180648112986407
45294,A1Nlowe, 03/04  07:00:00,N,Lowe,1426726.02,0,140623.805,0.0,55969.9173,1623319.7423,450.9221506388889,2.3782813852262077
66018,A1Wexist, 07/15  19:00:00,W,Exist,0.0,0,254853.4036,1583649.125,116035.1944,1954537.723,542.9271452777778,2.86353979576887
57258,A1Wclear, 07/15  19:00:00,W,Clear,0.0,0,244599.5374,1494341.81,116035.1944,1854976.5418,515.2712616111111,2.7176754304383497
74778,A1Wlowe, 07/15  19:00:00,W,Lowe,0.0,0,196189.1465,1195198.377,116035.1944,1507422.7179,418.72853275,2.208483822521097
88973,A2Sexist, 02/27  06:00:00,S,Exist,2775069.1380000003,0,238734.8909,0.0,30032.63855,3043836.66745,845.5101854027778,4.459441906132795
80213,A2Sclear, 02/27  06:00:00,S,Clear,1901874.981,0,230661.1318,0.0,30032.63855,2162568.7513499996,600.7135420416665,3.1683203694180726
97733,A2Slowe, 02/27  06:00:00,S,Lowe,2076885.293,0,188200.0318,0.0,30032.63855,2295117.96335,637.5327675972222,3.362514597031763
115253,B1Eexist, 02/27  06:00:00,E,Exist,2124025.9069999997,0,164428.2217,0.0,30032.63855,2318486.7672499996,644.0241020138888,3.3967515929002574
109818,B1Eclear, 07/15  19:00:00,E,Clear,0.0,0,167948.3359,1053495.355,116035.1944,1337478.8853,371.52191258333335,1.9595037583509143
124013,B1Elowe, 02/27  06:00:00,E,Lowe,1319362.07,0,145391.9624,0.0,30032.63855,1494786.6709500002,415.21851970833336,2.1899710955080876
141654,B1Nexist, 03/04  07:00:00,N,Exist,2197975.769,0,154324.40099999998,0.0,55969.9173,2408270.0873,668.9639131388889,3.528290681112283
132894,B1Nclear, 03/04  07:00:00,N,Clear,1329149.383,0,158223.2847,0.0,55969.9173,1543342.585,428.7062736111111,2.2611090380332866
150414,B1Nlowe, 03/04  07:00:00,N,Lowe,1450761.1330000001,0,138411.6083,0.0,55969.9173,1645142.6586000002,456.9840718333334,2.4102535434247545
166541,B1Wexist, 01/05  06:00:00,W,Exist,1607086.7759999998,0,233227.0751,0.0,30032.63855,1870346.48965,519.5406915694444,2.7401935209358883
162378,B1Wclear, 07/15  19:00:00,W,Clear,0.0,0,225470.7246,1388425.523,116035.1944,1729931.442,480.5365116666667,2.5344752725035162
179898,B1Wlowe, 07/15  19:00:00,W,Lowe,0.0,0,183673.0769,1133098.953,116035.1944,1432807.2243,398.00200674999996,2.0991667022679326
194093,B2Eexist, 02/27  06:00:00,E,Exist,2971166.442,0,157467.3951,0.0,30032.63855,3158666.4756499995,877.407354347222,4.627675919552859
202974,B2Elowe, 03/04  07:00:00,E,Lowe,2185149.443,0,141672.2026,0.0,55969.9173,2382791.5629,661.8865452499999,3.4909627914029535
220373,B3Sexist, 02/27  06:00:00,S,Exist,2719460.999,0,249565.9332,0.0,30032.63855,2999059.5707499995,833.072102986111,4.393840205622948
211613,B3Sclear, 02/27  06:00:00,S,Clear,1846857.18,0,240491.9425,0.0,30032.63855,2117381.76105,588.1616002916667,3.1021181449982422
229133,B3Slowe, 02/27  06:00:00,S,Lowe,2049986.7880000002,0,194712.0519,0.0,30032.63855,2274731.47845,631.869855125,3.3326469152162446
246654,B3Wexist, 02/27  07:00:00,W,Exist,2393507.557,0,254853.4036,0.0,60065.2771,2708426.2377,752.3406215833334,3.968041253076653
241218,B3Wclear, 07/15  19:00:00,W,Clear,0.0,0,244599.5374,1552283.414,116035.1944,1912918.1458,531.3661516111111,2.8025640907759026
255413,B3Wlowe, 02/27  06:00:00,W,Lowe,1864393.616,0,196189.1465,0.0,30032.63855,2090615.40105,580.7265002916666,3.0629034825509844
272933,C1Eexist, 02/27  06:00:00,E,Exist,2129232.9080000003,0,162543.4886,0.0,30032.63855,2321809.03515,644.9469542083333,3.401618956795007
262901,C1Eclear, 01/05  06:00:00,E,Clear,1152685.5929999999,0,166371.5353,0.0,30032.63855,1349089.76685,374.74715745833333,1.9765145435566105
281693,C1Elowe, 02/27  06:00:00,E,Lowe,1323265.005,0,144359.6691,0.0,30032.63855,1497657.31265,416.01592018055555,2.1941767942012422
299334,C1Nexist, 03/04  07:00:00,N,Exist,2185838.1,0,155214.3191,0.0,55969.9173,2397022.3364,665.8395378888889,3.5118119086966715
290574,C1Nclear, 03/04  07:00:00,N,Clear,1297446.624,0,160545.7763,0.0,55969.9173,1513962.3176000002,420.54508822222226,2.2180648112986407
308094,C1Nlowe, 03/04  07:00:00,N,Lowe,1426726.02,0,140623.805,0.0,55969.9173,1623319.7423,450.9221506388889,2.3782813852262077
325493,C1Sexist, 02/27  06:00:00,S,Exist,1828496.195,0,249565.9332,0.0,30032.63855,2108094.76675,585.5818796527777,3.088512023485115
320917,C1Sclear, 08/20  14:00:00,S,Clear,0.0,0,240491.9425,1388152.604,45048.957819999996,1673693.50432,464.9148623111111,2.4520826071261137
338942,C1Slowe, 09/10  15:00:00,S,Lowe,0.0,0,194712.0519,1134155.399,45048.957819999996,1373916.40872,381.64344686666664,2.012887377988748
351774,C2Wexist, 02/27  07:00:00,W,Exist,2408579.001,0,249863.5404,0.0,60065.2771,2718507.8185,755.1410606944445,3.9828115015529773
346338,C2Wclear, 07/15  19:00:00,W,Clear,0.0,0,240210.1927,1531842.707,116035.1944,1888088.0940999999,524.4689150277777,2.7661862606950303
360533,C2Wlowe, 02/27  06:00:00,W,Lowe,1875553.1930000002,0,193288.4442,0.0,30032.63855,2098874.27575,583.0206321527778,3.0750033341391236
378054,C3Wexist, 02/27  07:00:00,W,Exist,2436129.409,0,241642.8685,0.0,60065.2771,2737837.5546,760.5104318333333,4.011130969585092
369294,C3Wclear, 02/27  07:00:00,W,Clear,1608199.765,0,232973.2739,0.0,60065.2771,1901238.3159999999,528.1217544444444,2.7854522913736517
386813,C3Wlowe, 02/27  06:00:00,W,Lowe,1895567.013,0,188544.6314,0.0,30032.63855,2114144.28295,587.2623008194444,3.097375004321964
